Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
Cimarex Energy,Energy,987,CO,4570477568,-0.05274,2369555200,900,-60.14871210684
Cincinnati Financial,Financials,5148,OH,9961290752,0.013409999,8541801984,800,-22.8348734088691
Cintas Corporation,Industrials,45000,OH,24720001024,0.13191,21868187648,1200,-31.0164486121145
Cisco Systems,Information Technology,75900,CA,165835898880,0.21443,174512226304,1100,-12.6669323572093
Citizens Financial Group,Financials,17863,RI,22029103104,0.24521999,8762097664,1200,-48.0988419418558
Citrix Systems,Information Technology,8400,FL,19526760448,0.23877001,18236182528,900,21.4979739360479
CME Group Inc.,Financials,4360,IL,66463207424,0.45878,62267973632,1100,-16.3567984005829
CMS Energy,Utilities,8128,MI,30193715200,0.10677,15644838912,800,-7.35431675251794
Coca-Cola Company (The),Consumer Staples,86200,GA,229402066944,0.26947,192196329472,1400,-18.3392391340869
Cognizant Technology Solutions,Information Technology,292500,NJ,29636124672,0.10975,31159355392,1300,-21.7324315478258
Colgate-Palmolive,Consumer Staples,34300,NY,67138560000,0.15856,58106855424,800,-3.00727118416405
Comerica Inc.,Financials,7753,TX,9031325696,0.28799,4355966976,1000,-50.9959555815134
Conagra Brands,Consumer Staples,18000,IL,26526877696,0.07372,16273209344,800,-1.49786304623812
Concho Resources,Energy,1453,TX,15136720896,-2.24215,11357574144,900,-39.7598526113152
ConocoPhillips,Energy,10400,TX,50734632960,0.11898,43422691328,800,-45.8720239951724
Consolidated Edison,Utilities,14890,NY,47671951360,0.106809996,24841134080,1000,-6.89304786925348
Corning Inc.,Information Technology,49500,NY,23879530496,0.03294,15718889472,800,-26.6951589740224
Costco Wholesale Corp.,Consumer Staples,149000,WA,136416296960,0.02386,136399650816,1100,-0.636801985359303
"Coty, Inc",Consumer Staples,19000,NY,11784780800,-0.33123,3719094272,4000,-47.2382162612716
Crown Castle International Corp.,Real Estate,5100,TX,90382082048,0.14751,64592240640,800,1.24155491582425
CSX Corp.,Industrials,20500,FL,63569760256,0.27736,47941136384,800,-20.264212674678
Cummins Inc.,Industrials,61615,IN,25433554944,0.09337,22667368448,800,-19.633085033002
CVS Health,Consumer Staples,290000,RI,161280212992,0.025940001,78870691840,1000,-17.9569256218145
D. R. Horton,Consumer Discretionary,8916,TX,20467363840,0.10257,17180805120,800,-34.8110159995802
Darden Restaurants,Consumer Discretionary,185000,FL,13770710016,0.07251,8855226368,1300,-49.6552674760608
DaVita Inc.,Health Care,65000,CO,21334282240,0.07121,10030724096,1300,-3.80886179200924
Deere & Co.,Industrials,73489,IL,84414742528,0.08416,41438613504,1100,-19.8581572285708
Delta Air Lines Inc.,Industrials,91000,GA,31893184512,0.07763,13394345984,1800,-50.9040637108304
Digital Realty Trust Inc,Real Estate,1550,CA,44373180416,0.18020001,40151187456,800,11.2693121017524
Discover Financial Services,Financials,17200,IL,29230962688,0.29504,11988620288,900,-54.3088003229302
Discovery Inc. Class A,Consumer Discretionary,9200,MD,31497201664,0.18566,10100011008,2200,-31.0881936149452
Discovery Inc. Class C,Consumer Discretionary,9200,MD,30200619008,0.18566,10121245696,1800,-33.7257702916358
Dish Network,Consumer Discretionary,16000,CO,24688861184,0.10927,11977868288,1000,-39.5128057090455
Dollar General,Consumer Discretionary,143000,TN,55513137152,0.0617,43738460160,1000,1.24305777869709
Dollar Tree,Consumer Discretionary,56900,VA,27619670016,0.03503,17948899328,1100,-14.4131124333569
Dominion Energy,Utilities,19100,VA,108576743424,0.10273,65137741824,900,-8.90165608481101
Dover Corp.,Industrials,24000,IL,16181401600,0.105909996,13008491520,1800,-26.7680943492169
DTE Energy Co.,Utilities,10700,MI,38039384064,0.09099,19359432704,800,-23.5746300103251
DXC Technology,Information Technology,130000,VA,12477001728,-0.07983,4112817152,900,-56.7052610450919
Eastman Chemical,Materials,14500,TN,14015948800,0.08846,8089769472,900,-33.1492671887808
eBay Inc.,Information Technology,13300,CA,33464940544,0.43490002,28699930624,1000,-11.0740962120211
Ecolab Inc.,Materials,50000,MN,62396616704,0.10318,55817715712,1000,-14.7735222176219
Edison Int’l,Utilities,12937,CA,44256186368,0.09656,19646836736,800,-24.5962836031274
Edwards Lifesciences,Health Care,14000,CA,43786915840,0.24707001,44142870528,1200,-15.2957852960511
Emerson Electric Company,Industrials,88000,MO,38346899456,0.12044,32610187264,800,-33.1999809510407
EOG Resources,Energy,2900,TX,30755420160,0.16016,26681399296,1200,-46.9938909185551
EQT Corporation,Energy,647,PA,9003968512,-0.32882,3481838080,1100,19.7898389834818
Equifax Inc.,Industrials,11200,GA,20979089408,0.07452,17753769984,800,-17.1795326927807
Equinix,Real Estate,8378,CA,70065340416,0.09255,58790395904,1200,5.59596389138106
Equity Residential,Real Estate,2700,IL,32944699392,0.43164003,22705786880,1000,-23.7401386429868
"Essex Property Trust, Inc.",Real Estate,1822,CA,22240610304,0.27813998,15975528448,800,-26.2192327945894
Estee Lauder Cos.,Consumer Staples,48000,NY,65177165824,0.084309995,61027033088,1200,-19.3441724999255
Eversource Energy,Utilities,8234,MA,42494058496,0.10662,25645629440,1200,-5.12357949796486
Exelon Corp.,Utilities,32713,IL,76041846784,0.08525,33576235008,3100,-21.0425501893836
Expeditors International,Industrials,18102,WA,11383227392,0.07112,12219518976,800,-10.6822462906695
Extra Space Storage,Real Estate,4048,UT,16801064960,0.31822002,10877496320,1300,-12.7312748949288
F5 Networks,Information Technology,5325,WA,8211531264,0.14769,8597192704,900,-16.3405556163184
"Facebook, Inc.",Information Technology,48268,CA,540488826880,0.2857,593951916032,3000,-19.2555691050885
Fastenal Co,Industrials,22131,MN,21520756736,0.14827,21681199104,4000,-9.3590644316882
Federal Realty Investment Trust,Real Estate,308,MD,9628643328,0.37896,5543892480,800,-36.9911783692286
Fidelity National Information Services,Information Technology,55000,FL,100974641152,0.02884,81485692928,800,-15.9429027330013
Fifth Third Bancorp,Financials,20182,OH,32868384768,0.25302,11935715328,28000,-45.6627401749125
FirstEnergy Corp,Utilities,12316,OH,44380295168,0.06242,21670158336,900,-16.0612023588262
Fiserv Inc,Information Technology,44000,WI,94137827328,0.08766,71346683904,900,-19.584712120155
FLIR Systems,Information Technology,4265,OR,6001762816,0.09094,6105647104,1300,-34.9734923621493
Fluor Corp.,Industrials,53349,TX,1586924672,-0.07046,1333054720,900,-59.0622149175754
Foot Locker Inc,Consumer Discretionary,15589,NY,4803230208,0.061339997,2391183616,1100,-40.5585944929755
Fortive Corp,Industrials,25000,WA,24903417856,0.08284,19460171776,1000,-26.055211559135
Fortune Brands Home & Security,Industrials,24700,IL,9531244544,0.07814,7164967424,800,-34.2121060282742
Franklin Resources,Financials,9600,CA,5119600640,0.17286,8786727936,900,-30.5365699208966
Freeport-McMoRan Inc.,Materials,27500,AZ,33332600832,-0.056760002,12472337408,4000,-39.4175173692166
Gap Inc.,Consumer Discretionary,129000,CA,8789196800,0.02142,2671821824,3100,-52.0638050722269
General Dynamics,Industrials,100000,VA,50247098368,0.0887,34920075264,1100,-26.6707486505614
General Electric,Industrials,205000,MA,111098609664,-0.025320001,52307599360,317000,-36.9027352927339
General Mills,Consumer Staples,40000,MN,50508369920,0.12679,35744018432,1400,5.28433229622372
General Motors,Consumer Discretionary,164000,MI,118640582656,0.049050003,31354798080,3100,-37.7042345683064
Genuine Parts,Consumer Discretionary,55000,GA,15194611712,0.03203,10556186624,1000,-30.4233005902888
Gilead Sciences,Health Care,11800,CA,103610556416,0.21844,97147379712,900,13.5055622932041
Global Payments Inc.,Information Technology,24000,GA,58663911424,0.08767,51051773952,800,-23.5741719820886
Goldman Sachs Group,Financials,38500,NY,-125994647552,0.21404,60840488960,800,-27.5552605580913
Goodyear Tire & Rubber,Consumer Discretionary,63000,OH,8054604800,-0.06118,1435267584,4000,-52.4487841437332
Grainger (W.W.) Inc.,Industrials,23800,IL,16997782528,0.06579,14997745664,800,-19.0521515661293
Halliburton Co.,Energy,50000,TX,18128957440,-0.105950005,8386778112,1800,-66.1192496927604
Hanesbrands Inc,Consumer Discretionary,63000,NC,7426028032,0.07643,3341136128,3000,-36.4386460957472
Harley-Davidson,Consumer Discretionary,5600,WI,9816312832,0.06926,2995320576,900,-43.3981208256791
Hartford Financial Svc.Gp.,Financials,19500,CT,14644916224,0.08327,12006254592,800,-37.8980887746666
Hasbro Inc.,Consumer Discretionary,5600,RI,13271226368,0.08326,9027391488,800,-31.2456170358008
HCA Holdings,Health Care,210000,TN,74518462464,0.05896,33670895616,800,-32.1966855662632
Helmerich & Payne,Energy,6200,OK,1972908032,-0.19473,1714391296,800,-57.7007907106181
Henry Schein,Health Care,19000,NY,9518002176,0.07113,7521813504,1000,-23.0638667178114
Hewlett Packard Enterprise,Information Technology,61600,CA,24027295744,0.04223,12045979648,1400,-34.8431151305738
Hologic,Health Care,6478,MA,15877181440,0.13622,13429294080,3100,-29.6167821719058
Home Depot,Consumer Discretionary,415700,GA,277716434944,0.10199001,240516939776,1000,-16.7203657998351
Hormel Foods Corp.,Consumer Staples,18700,MN,24538230784,0.10295,25001207808,800,4.95081985302741
HP Inc.,Information Technology,56000,CA,22764851200,0.051599998,20960280576,900,-24.5452116129947
Humana Inc.,Health Care,46000,KY,41741062144,0.038599998,49575927808,900,-12.7325457331527
Huntington Bancshares,Financials,15386,OH,19442724864,0.27354,8347030528,40700,-41.7773121927472
Huntington Ingalls Industries,Industrials,42000,VA,8855626752,0.061690003,7275324416,900,-26.0882501272386
